# block key slot
B9 ethz-spylab/agentdojo injection_bench
B9 protectai/llm-guard guardrails
B9 NVIDIA/NeMo-Guardrails guardrails
B9 guardrails-ai/guardrails guardrails
B9 splx-ai/agentic-radar scanner
B9 humanlayer/humanlayer hitl
B9 e2b-dev/e2b cloud_sandbox
B9 Azure/PyRIT redteam
B10 langfuse/langfuse tracing
B10 Arize-ai/phoenix tracing
B10 comet-ml/opik tracing
B10 AgentOps-AI/agentops tracing
B10 traceloop/openllmetry tracing
B10 openlit/openlit tracing
B10 xlang-ai/OSWorld benchmark
B10 microsoft/WindowsAgentArena benchmark_windows
B10 likaixin2000/ScreenSpot-Pro-GUI-Grounding benchmark_grounding
B10 THUDM/AgentBench benchmark
B10 ukgovernmentbeis/inspect_ai eval_framework
B1 francedot/acu meta
B1 showlab/Awesome-GUI-Agent meta
B1 punkpeye/awesome-mcp-servers meta
B1 e2b-dev/awesome-ai-agents meta
B1 TsinghuaC3I/Awesome-Memory-for-Agents meta
